['8', '5', '3', '3', '1', '1', '7'] | 87
['6', '9', '1', '2', '1', '3'] | 63
['2', '9', '3'] | 23
['5', '5'] | 55
['7', '2', '5', '1'] | 71
['2', '3', '6', '8', '8', '6', '6'] | 26
['1', '9', '1', '9', '2', '7'] | 17
['7', '8', '2'] | 72
['6', '1', '6'] | 66
['6', '4', '5', '9', '7'] | 67
['5', '9'] | 59
['1', '5'] | 15
['9', '4', '1', '8', '7'] | 97
['6', '6'] | 66
['1', '9', '5', '5', '2'] | 12
['9', '9', '8', '7'] | 97
['3', '4', '3', '6', '6'] | 36
['2', '2', '7', '6'] | 26
['6', '5', '5', '9', '3', '5'] | 65
['7', '1', '1', '4', '3', '3'] | 73
['8', '3', '3', '3', '9'] | 89
['9', '2', '4', '3'] | 93
['8', '7', '6'] | 86
['4', '9', '3', '8'] | 48
['5', '6'] | 56
['5', '8', '4', '1', '7', '7'] | 57
['5', '4', '6'] | 56
['7', '3', '3', '2', '6'] | 76
['7', '7', '9', '6', '2', '3', '3'] | 73
['8', '1', '4', '2'] | 82
['3', '8', '7', '3'] | 33
['5', '4'] | 54
['3', '3', '3', '1', '9', '7'] | 37
['5', '1'] | 51
['5', '4'] | 54
['9', '1', '5', '8'] | 98
['3', '9', '7'] | 37
['6', '5', '1', '5'] | 65
['7', '6', '2', '5', '9', '1', '7'] | 77
['5', '7', '4'] | 54
['6', '8', '8', '8', '9'] | 69
['8', '8', '3', '5', '5', '9', '9', '2'] | 82
['7', '4', '2', '7', '6'] | 76
['2', '3'] | 23
['8', '2', '3', '9'] | 89
['7', '4', '8'] | 78
['7', '8', '8', '5', '6', '6'] | 76
['4', '2', '3'] | 43
['6', '4', '1', '7', '8'] | 68
['8', '2', '2', '6', '6', '3', '4', '2'] | 82
['8', '3'] | 83
['3', '6', '3'] | 33
['6', '9', '9', '8'] | 68
['8', '2', '2', '5', '3'] | 83
['1', '7'] | 17
['1', '9', '9', '9'] | 19
['8', '5', '3'] | 83
['9', '2'] | 92
['1', '5', '8', '2'] | 12
['7', '6'] | 76
['9', '7'] | 97
['5', '5', '7', '7', '2', '3'] | 53
['3', '8', '5'] | 35
['8', '3', '5', '3'] | 83
['8', '6', '3'] | 83
['7', '3', '3', '5', '7', '1'] | 71
['3', '8', '9', '2', '6'] | 36
['9', '9', '9', '4', '9', '5'] | 95
['8', '8'] | 88
['2', '7', '1', '8'] | 28
['1', '1', '4', '2'] | 12
['8', '4', '4', '5'] | 85
['3', '3', '2', '2', '8'] | 38
['9', '5', '7'] | 97
['1', '7', '2', '1'] | 11
['4', '4'] | 44
['5', '5', '8', '6'] | 56
['2', '4', '5', '6', '7'] | 27
['6', '5', '3'] | 63
['9', '9', '1', '1', '5', '5', '3'] | 93
['9', '9', '3', '3', '2', '9'] | 99
['7', '3', '2'] | 72
['8', '8'] | 88
['7', '6', '3'] | 73
['1', '9', '9'] | 19
['2', '1', '6', '5', '3'] | 23
['1', '8', '9', '2', '1', '1', '6'] | 16
['4', '4', '4', '9'] | 49
['2', '2', '3', '3', '1', '1'] | 21
['2', '3', '6', '1'] | 21
['1', '6', '6'] | 16
['4', '6', '6', '6', '7'] | 47
['1', '2', '1'] | 11
['5', '5', '7'] | 57
['3', '9', '9', '9'] | 39
['8', '2', '5'] | 85
['7', '6', '6', '4', '4', '1'] | 71
['5', '5', '1', '4', '7', '9', '3'] | 53
['5', '3', '7'] | 57
['7', '5', '1'] | 71
['5', '5', '4', '7', '7', '1', '4', '9'] | 59
['7', '7', '8', '6', '8', '2', '7'] | 77
['2', '2', '1', '7', '8', '7'] | 27
['7', '8', '5'] | 75
['7', '9', '9', '1', '1', '2'] | 72
['3', '2', '2', '4', '1'] | 31
['7', '7'] | 77
['9', '7', '3'] | 93
['3', '6', '2', '1'] | 31
['4', '4', '6', '6', '5'] | 45
['7', '1'] | 71
['4', '4', '7', '8', '6', '3'] | 43
['3', '6', '4', '9', '7'] | 37
['9', '3', '7', '1', '9'] | 99
['8', '5', '8', '7', '6', '3'] | 83
['4', '3', '8', '2', '4'] | 44
['1', '2', '6', '5', '4'] | 14
['6', '6', '6', '3'] | 63
['7', '1', '6'] | 76
['5', '9', '7', '4'] | 54
['7', '8', '9', '9', '5', '5'] | 75
['4', '3'] | 43
['1', '3', '5'] | 15
['7', '8', '9', '4'] | 74
['7', '4'] | 74
['3', '6', '1', '4'] | 34
['7', '8', '2', '9', '8', '3', '4'] | 74
['1', '8', '8', '4'] | 14
['3', '6', '4', '8', '7', '6'] | 36
['8', '8'] | 88
['5', '6', '4'] | 54
['6', '5', '2'] | 62
['1', '6'] | 16
['3', '7', '9'] | 39
['8', '1', '7', '1'] | 81
['7', '2', '3', '7', '1'] | 71
['6', '2', '5', '4'] | 64
['3', '3'] | 33
['6', '1', '3'] | 63
['1', '2'] | 12
['2', '4', '4', '5', '9', '6'] | 26
['2', '5', '9', '6'] | 26
['3', '2'] | 32
['3', '6', '5', '6', '4', '1', '9'] | 39
['3', '8', '5'] | 35
['1', '8', '6', '2'] | 12
['7', '7', '7'] | 77
['9', '1', '1', '5', '8'] | 98
['4', '2', '5', '5', '5', '2', '9', '1', '8'] | 48
['8', '5', '4'] | 84
['7', '4', '9', '2', '9', '3', '4'] | 74
['8', '9'] | 89
['3', '9', '3', '9'] | 39
['3', '7'] | 37
['4', '1'] | 41
['8', '1', '9'] | 89
['3', '6', '6', '9'] | 39
['8', '7', '9', '2'] | 82
['5', '2', '4', '7', '5'] | 55
['3', '3'] | 33
['6', '8', '8', '3'] | 63
['5', '2', '3', '1', '7'] | 57
['2', '8'] | 28
['9', '9'] | 99
['1', '1', '7', '2', '9', '4'] | 14
['3', '5'] | 35
['4', '8', '6', '9', '9', '3'] | 43
['8', '2', '8', '7', '6', '7'] | 87
['9', '5', '6', '9', '5', '1'] | 91
['7', '4', '1'] | 71
['4', '3', '3'] | 43
['7', '3', '8', '9', '2', '8'] | 78
['9', '5', '1', '8', '3'] | 93
['9', '2', '7'] | 97
['2', '6', '7'] | 27
['2', '9'] | 29
['8', '5', '9', '6', '4', '7'] | 87
['9', '4', '2'] | 92
['8', '7', '2'] | 82
['3', '3', '2', '5'] | 35
['3', '3', '2', '9', '6', '3', '5'] | 35
['8', '2', '4', '5'] | 85
['8', '7', '8'] | 88
['5', '5'] | 55
['6', '8', '8', '4', '3', '3', '2'] | 62
['9', '7', '2', '6'] | 96
['3', '6', '6', '9', '7', '5'] | 35
['5', '1', '2', '1'] | 51
['4', '4', '6', '5', '6', '3'] | 43
['9', '9', '2', '8', '7', '7'] | 97
['8', '9', '5', '6', '3'] | 83
['1', '8', '5', '4', '1', '7'] | 17
['8', '8', '4', '7', '7', '3'] | 83
